,AALPI Score,FRL,ge_students,all_prog_students,attendance_area,MetStandards,all_prog_capacity,ge_capacity,num_schools,english_score,math_score,greatschools_rating,AvgColorIndex
0,16.24444647456414,22.00784522220717,69.60778776564302,102.85714285714286,413,0.61478597,68,64,1,2446.964286,2478.72619,9.0,3.75
1,22.540442924676018,7.026565558028891,45.382772768683004,98.28571428571429,420,0.51914895,89,42,1,2454.342105,2454.828947,7.0,3.75
2,12.282437210514974,20.481370655528814,64.21129159800888,87.71428571428571,435,0.54298645,64,64,1,2474.05,2496.065574,8.0,4.5
3,44.92181713073552,23.607377865963723,33.80684761647624,66.14285714285714,453,0.02325581,88,66,1,2317.03125,2351.8125,1.0,2.5
4,47.01733190624863,13.735262495651396,24.038924420063033,62.0,456,0.13043478,44,22,1,2405.074074,2426.482759,3.0,2.0
