Block,BlockGroup,Tract
60750105002001.00,60750105002,6075010500
60750105002002.00,60750105002,6075010500
60750105002003.00,60750105002,6075010500
60750105002004.00,60750105002,6075010500
60750105002005.00,60750105002,6075010500
60750105002006.00,60750105002,6075010500
60750105002007.00,60750105002,6075010500
60750105002008.00,60750105002,6075010500
60750105002009.00,60750105002,6075010500
60750105002010.00,60750105002,6075010500
60750105002011.00,60750105002,6075010500
60750105002012.00,60750105002,6075010500
60750105002013.00,60750105002,6075010500
60750105002014.00,60750105002,6075010500
60750105002015.00,60750105002,6075010500
60750105002016.00,60750105002,6075010500
60750105002017.00,60750105002,6075010500
60750105002018.00,60750105002,6075010500
60750105002019.00,60750105002,6075010500
60750105002020.00,60750105002,6075010500
60750105002021.00,60750105002,6075010500
60750106001000.00,60750106001,6075010600
60750106001001.00,60750106001,6075010600
60750106001002.00,60750106001,6075010600
60750106001003.00,60750106001,6075010600
60750106001004.00,60750106001,6075010600
60750106001005.00,60750106001,6075010600
60750106001006.00,60750106001,6075010600
60750106001007.00,60750106001,6075010600
60750106002000.00,60750106002,6075010600
60750106002001.00,60750106002,6075010600
60750106002002.00,60750106002,6075010600
60750106002003.00,60750106002,6075010600
60750106002004.00,60750106002,6075010600
60750106002005.00,60750106002,6075010600
60750106002006.00,60750106002,6075010600
60750106002007.00,60750106002,6075010600
60750106002008.00,60750106002,6075010600
60750106003000.00,60750106003,6075010600
60750106003001.00,60750106003,6075010600
60750106003002.00,60750106003,6075010600
60750106003003.00,60750106003,6075010600
60750106003004.00,60750106003,6075010600
60750106003005.00,60750106003,6075010600
60750106003006.00,60750106003,6075010600
60750106003007.00,60750106003,6075010600
60750106003008.00,60750106003,6075010600
60750106003009.00,60750106003,6075010600
60750106003010.00,60750106003,6075010600
60750106003011.00,60750106003,6075010600
60750107001000.00,60750107001,6075010700
60750107001001.00,60750107001,6075010700
60750107001002.00,60750107001,6075010700
60750107001003.00,60750107001,6075010700
60750107001004.00,60750107001,6075010700
60750107001005.00,60750107001,6075010700
