Grade,PathwayCode,PathwayName,SchNum,SchoolName,Scenario_A_Capacity,Scenario_B_Capacity,Scenario_C_Capacity,Scenario_D_Capacity
K,GE,Gen Ed,782,Stevenson (Robert Louis) ES,64,64,64,64
K,MS,SDC - Moderate to Severe,842,Sunnyside ES,3,0,3,3
K,GE,Gen Ed,842,Sunnyside ES,44,64,44,44
K,SA,SDC - Mod/Severe Autism Focus,750,Sunset ES,7,7,7,7
K,GE,Gen Ed,750,Sunset ES,64,64,64,64
K,CB,Cantonese Biliteracy,848,Sutro ES,22,22,22,22
K,GE,Gen Ed,848,Sutro ES,22,22,22,22
K,AF,SDC – Mild/Mod Autism Focus,513,Taylor (Edward R) ES,3,4,3,3
K,SB,Spanish Biliteracy,513,Taylor (Edward R) ES,0,22,0,0
K,GE,Gen Ed,513,Taylor (Edward R) ES,64,42,64,64
K,CB,Cantonese Biliteracy,513,Taylor (Edward R) ES,22,44,22,22
K,GE,Gen Ed,859,Tenderloin Community ES,66,42,66,66
K,GE,Gen Ed,912,Treasure Island ES,0,0,0,44
K,CB,Cantonese Biliteracy,862,Ulloa ES,22,22,22,22
K,GE,Gen Ed,862,Ulloa ES,66,66,66,66
K,CB,Cantonese Biliteracy,867,Visitacion Valley ES,22,11,22,22
K,GE,Gen Ed,867,Visitacion Valley ES,44,44,44,44
K,GE,Gen Ed,497,Webster (Daniel) ES,22,22,22,22
K,SE,Spanish Immersion (Non-Native),497,Webster (Daniel) ES,11,22,11,11
K,SN,Spanish Immersion (Spanish Speakers),497,Webster (Daniel) ES,11,22,11,11
K,CE,Cantonese Immersion (All English),876,West Portal ES,21,14,21,21
K,CN,Cantonese Immersion (Cantonese Speakers),876,West Portal ES,21,19,21,21
K,GE,Gen Ed,876,West Portal ES,42,66,42,42
K,SA,SDC - Mod/Severe Autism Focus,801,Wo (Yick) ES,4,2,4,4
K,GE,Gen Ed,801,Wo (Yick) ES,22,42,22,22
K,CT,Cantonese Immersion (All others),485,Yu (Alice Fong) K-8,22,22,22,22
K,CE,Cantonese Immersion (All English),485,Yu (Alice Fong) K-8,22,44,22,22
K,GE,Gen Ed,999,Mission Bay ES,66,66,66,66
